"รหัสสถานี","เขต","สถานี","วัน-เวลา","ฝน 5 นาที","ฝน 15 นาที","ฝน 30 นาที","ฝน 1 ชม.","ฝน 3 ชม.","ฝน 6 ชม.","ฝน 12 ชม.","ฝน 24 ชม.","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:15","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:20","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:25","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:30","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:35","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:45","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:50","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 03:55","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:00","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:05","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","8.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:15","0.0","0.0","0.0","0.0","0.0","0.0","0.5","7.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:20","0.0","0.0","0.0","0.0","0.0","0.0","0.5","7.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:25","0.0","0.0","0.0","0.0","0.0","0.0","0.5","7.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:30","0.0","0.0","0.0","0.0","0.0","0.0","0.5","7.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:35","0.0","0.0","0.0","0.0","0.0","0.0","0.5","6.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","6.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:45","0.0","0.0","0.0","0.0","0.0","0.0","0.5","6.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:50","0.0","0.0","0.0","0.0","0.0","0.0","0.5","6.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 04:55","0.0","0.0","0.0","0.0","0.0","0.0","0.5","5.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:00","0.0","0.0","0.0","0.0","0.0","0.0","0.5","5.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:05","0.0","0.0","0.0","0.0","0.0","0.0","0.5","5.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","5.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:15","0.0","0.0","0.0","0.0","0.0","0.0","0.5","4.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:20","0.0","0.0","0.0","0.0","0.0","0.0","0.5","4.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:25","0.0","0.0","0.0","0.0","0.0","0.0","0.5","4.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:30","0.0","0.0","0.0","0.0","0.0","0.0","0.5","3.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:35","0.0","0.0","0.0","0.0","0.0","0.0","0.5","3.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:40","0.0","0.0","0.0","0.0","0.0","0.0","0.5","3.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:45","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:50","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.5","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 05:55","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 06:00","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 06:05","0.0","0.0","0.0","0.0","0.0","0.0","0.5","2.0","ดูข้อมูล"
"RF.DST.02","ดุสิต","ส.สามเสน","28/09/2568 06:10","0.0","0.0","0.0","0.0","0.0","0.0","0.5","1.5","ดูข้อมูล"
