Location Description,Node Id,Sample Time,Onboard Temperature, Onboard Battery,Channel,Sensor Model,Sensor Type,Offset,Value,Units,
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 8:30,26.75,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.75,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 8:45,27.7,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.7,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 9:00,27.54,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.54,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 9:15,27.86,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.86,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 9:30,28.02,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.02,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 9:45,29.45,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.45,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 10:00,30.4,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,30.4,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 10:14,31.04,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.04,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 10:30,31.36,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.36,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 10:45,32.47,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.47,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 11:00,32.31,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.31,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 11:15,31.99,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.99,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 11:30,32.15,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.15,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 11:45,31.99,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.99,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 12:00,32.31,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.31,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 12:15,32.15,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.15,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 12:30,32.31,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.31,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 12:45,31.83,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.83,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 13:00,31.36,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.36,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 13:15,31.68,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.68,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 13:29,31.99,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.99,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 13:45,31.99,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.99,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 14:00,32.15,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.15,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 14:15,32.63,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.63,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 14:30,32.47,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.47,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 14:45,32.63,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.63,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 15:00,32.47,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.47,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 15:15,32.31,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.31,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 15:30,32.63,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.63,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 15:45,32.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 16:00,32.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 16:15,32.79,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.79,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 16:30,32.47,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,32.47,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 16:45,31.68,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.68,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 17:00,31.2,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,31.2,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 17:15,30.56,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,30.56,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 17:30,29.77,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.77,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 17:45,29.45,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,29.45,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 17:59,28.81,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,28.81,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 18:14,27.38,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,27.38,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 18:30,26.91,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.91,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 18:45,25.95,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.95,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 19:00,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 19:15,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 19:30,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 19:45,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 20:00,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 20:15,25.48,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.48,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 20:30,26.27,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,26.27,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 20:44,25.32,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.32,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 21:00,25.64,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.64,ýýc,0
ODS-Demo,00:1B:C5:0A:A0:01:B3:A1,9/27/2025 21:15,25.48,0,1,FM3 Onboard Temperature,FM3 Onboard Temperature,0,25.48,ýýc,0
